Loss,Accuracy,Val_Loss,Val_Accuracy
0.0373,0.9876,0.0148,0.9946
0.0154,0.9944,0.0132,0.995
0.0141,0.9948,0.0128,0.9951
0.0133,0.995,0.012,0.9953
0.0128,0.9951,0.012,0.9953
0.0125,0.9952,0.0114,0.9955
0.0122,0.9953,0.0113,0.9955
0.012,0.9953,0.0112,0.9955
0.0117,0.9954,0.0109,0.9955
0.0114,0.9955,0.0107,0.9956
