Loss,Accuracy,Val_Loss,Val_Accuracy
0.2664,0.9247,0.1322,0.9592
0.1289,0.9576,0.0917,0.9651
0.0906,0.9696,0.0594,0.9806
0.0619,0.9806,0.0426,0.9897
0.0502,0.9839,0.0368,0.9882
0.0436,0.9862,0.0317,0.9913
0.0392,0.9879,0.0283,0.9918
0.0357,0.9891,0.0259,0.9924
0.0332,0.9901,0.0256,0.9916
0.0313,0.9907,0.0228,0.9935
