Loss,Accuracy,Val_Loss,Val_Accuracy
0.5014,0.874,0.1838,0.9494
0.1842,0.9482,0.1521,0.9532
0.1619,0.9522,0.1385,0.9542
0.1491,0.9543,0.1276,0.9545
0.1338,0.9571,0.1122,0.9727
0.113,0.9634,0.0934,0.9877
0.0943,0.9744,0.0837,0.9897
0.0833,0.9794,0.076,0.99
0.0756,0.9826,0.0714,0.9899
0.0697,0.9846,0.0666,0.9899
