Loss,Accuracy,Val_Loss,Val_Accuracy
0.9666,0.736,0.281,0.9442
0.2535,0.9379,0.1819,0.952
0.1962,0.9483,0.1593,0.9535
0.1752,0.9512,0.1493,0.9533
0.165,0.9524,0.1416,0.9542
0.1581,0.9533,0.1372,0.9545
0.1509,0.9546,0.1331,0.9545
0.1465,0.9549,0.129,0.9547
0.1421,0.9557,0.1247,0.955
0.1369,0.9562,0.1201,0.9551
