Loss,Accuracy,Val_Loss,Val_Accuracy
0.0245,0.9928,0.0112,0.9968
0.0087,0.9974,0.0052,0.9984
0.0074,0.9979,0.005,0.9985
0.0066,0.9982,0.0059,0.9986
0.0069,0.9983,0.0052,0.9985
0.0061,0.9983,0.0045,0.9987
0.0071,0.9984,0.0062,0.9983
0.0066,0.9985,0.0044,0.9988
0.0055,0.9985,0.0039,0.9991
0.0059,0.9986,0.0085,0.9972
