Loss,Accuracy,Val_Loss,Val_Accuracy
0.127,0.9626,0.039,0.9715
0.1258,0.97,0.0418,0.991
0.0602,0.9866,0.0399,0.9903
0.0282,0.9928,0.0156,0.9951
0.0372,0.9924,0.032,0.9929
0.065,0.9866,0.036,0.9916
0.0257,0.9936,0.0136,0.9963
0.0318,0.9928,0.0179,0.9948
0.0282,0.9942,0.0154,0.9963
0.0252,0.9947,0.0253,0.9952
