Loss,Accuracy,Val_Loss,Val_Accuracy
0.5038,0.8169,0.0306,0.9922
0.0327,0.9915,0.022,0.9933
0.0256,0.9925,0.0193,0.9937
0.0228,0.9929,0.0183,0.9939
0.0212,0.9932,0.0174,0.994
0.02,0.9934,0.0168,0.9942
0.0191,0.9936,0.0162,0.9943
0.0186,0.9937,0.0161,0.9943
0.018,0.9939,0.0157,0.9944
0.0174,0.994,0.0155,0.9945
