Loss,Accuracy,Val_Loss,Val_Accuracy
1.0053,0.8055,0.6077,0.8522
0.5862,0.8564,0.4794,0.8719
0.4681,0.8696,0.3801,0.8735
0.3808,0.8877,0.3166,0.9157
0.3267,0.9058,0.2775,0.9176
0.2935,0.9125,0.2533,0.9193
0.2711,0.9175,0.2353,0.9253
0.2533,0.9221,0.2196,0.9288
0.2384,0.9266,0.2058,0.9331
0.2258,0.93,0.1942,0.9373
