Loss,Accuracy,Val_Loss,Val_Accuracy
0.0228,0.9932,0.0086,0.9976
0.0087,0.9975,0.006,0.9982
0.0071,0.998,0.0049,0.9986
0.0064,0.9982,0.005,0.9987
0.0061,0.9984,0.0042,0.9986
0.0065,0.9984,0.0056,0.9982
0.0059,0.9985,0.008,0.9985
0.0061,0.9986,0.0049,0.9989
0.0058,0.9986,0.004,0.9991
0.0062,0.9986,0.004,0.9989
