Loss,Accuracy,Val_Loss,Val_Accuracy
0.0391,0.987,0.0123,0.9953
0.0125,0.9952,0.0112,0.9956
0.0109,0.9956,0.0095,0.9961
0.0096,0.996,0.0094,0.9959
0.0087,0.9963,0.0081,0.9965
0.0083,0.9964,0.0081,0.9964
0.0078,0.9965,0.0074,0.9968
0.0076,0.9966,0.0074,0.9967
0.0074,0.9967,0.0066,0.9969
0.0073,0.9968,0.007,0.9967
