Loss,Accuracy,Val_Loss,Val_Accuracy
0.0194,0.9932,0.0137,0.9948
0.0135,0.995,0.013,0.9955
0.0118,0.9955,0.045,0.9957
0.0116,0.9956,0.0101,0.9959
0.0117,0.9957,0.0086,0.9962
0.0114,0.9957,0.0092,0.9958
0.0119,0.9957,0.0121,0.9959
0.0118,0.9957,0.0092,0.9959
0.0129,0.9958,0.01,0.996
0.0118,0.9958,0.0107,0.9958
