Loss,Accuracy,Val_Loss,Val_Accuracy
0.0362,0.9885,0.013,0.9951
0.0128,0.9951,0.0117,0.9954
0.0113,0.9955,0.0099,0.9958
0.0101,0.9958,0.0088,0.9963
0.009,0.9962,0.0086,0.9963
0.0085,0.9963,0.0078,0.9965
0.0081,0.9965,0.0074,0.9967
0.0078,0.9966,0.0071,0.9967
0.0076,0.9967,0.0081,0.9965
0.0074,0.9968,0.0072,0.9967
