Loss,Accuracy,Val_Loss,Val_Accuracy
0.0532,0.984,0.013,0.9956
0.012,0.9961,0.0067,0.9981
0.0079,0.9975,0.0058,0.9982
0.0063,0.9981,0.0044,0.9984
0.0055,0.9983,0.0046,0.9985
0.0049,0.9985,0.0035,0.9988
0.0047,0.9986,0.0044,0.9985
0.0042,0.9987,0.0029,0.9992
0.004,0.9988,0.0031,0.9991
0.0038,0.9988,0.0029,0.9992
