Loss,Accuracy,Val_Loss,Val_Accuracy
0.1567,0.9554,0.0701,0.9809
0.0498,0.9864,0.0376,0.9943
0.0239,0.9945,0.0251,0.9967
0.0158,0.9966,0.0209,0.9985
0.0116,0.9978,0.0143,0.9985
0.0086,0.9983,0.0125,0.999
0.0065,0.9986,0.0121,0.9992
0.0053,0.9988,0.0144,0.9992
0.0045,0.9989,0.0123,0.9993
0.004,0.999,0.014,0.9993
